time,vehicle_id,speed,edge,x,y
246.0,64,12.035195792491942,C1B1,361.81723608582547,201.6
246.0,69,13.319179322320462,B1A1,87.1867254431972,201.6
246.0,75,0.003722441600755752,B1B2,201.6,349.13163615046085
246.0,76,3.9487975662574173,:B1_22,200.70083191813268,202.7680531968878
246.0,77,0.0,B1B2,201.6,371.6358930388676
246.0,78,0.0,B1B2,201.6,386.63799867636993
246.0,80,0.0,B1B2,201.6,379.13693198784915
246.0,81,0.0,A1B1,174.26579350972364,198.4
246.0,82,10.835098280599153,A1A0,-1.6,168.474917306247
246.0,83,0.0,A1B1,166.7647714603042,198.4
246.0,85,0.0,B2B1,198.4,208.2010109470803
246.0,86,5.941564120373929,B0C0,395.95203310935756,-1.6
246.0,87,3.5470164057987557,:A1_5,6.82888946668213,201.35259297778808
246.0,88,0.0,B0B1,201.6,191.79898848734948
246.0,89,0.0009487147669903389,A1B1,151.76239721188944,198.4
246.0,90,0.0,B1B2,201.6,364.13481532215735
246.0,91,11.506907131480098,B1A1,120.89132642565654,201.6
246.0,92,0.0,C0C1,401.6,191.798989625217
246.0,93,0.00022128256101387362,B0B1,201.6,184.29786370754778
246.0,94,1.305974331847392,A1B1,190.57388048069424,198.4
246.0,95,6.9860673662194746,A1A2,1.6,395.76882391241327
246.0,96,0.0,A1B1,159.26368302288603,198.4
246.0,97,6.145540893184534,A1B1,141.60879977815205,198.4
246.0,98,15.488940468453594,B1A1,150.19798332333107,201.6
247.0,100,13.974878570096008,C2B2,310.1442667455639,401.6
247.0,101,0.0,C0B0,208.2010614894611,1.6
247.0,102,13.312308877581312,B0B1,201.6,141.25799721160067
247.0,103,0.0,C0C1,401.6,184.29789634026972
247.0,104,0.12531636917618408,C0C1,401.6,176.76505517303315
247.0,105,0.0,B2B1,198.4,223.2030868413129
247.0,107,0.0,C2B2,208.20104530950232,401.6
247.0,108,14.69337898778853,C1C0,398.4,39.748781481703276
247.0,109,12.762158403309487,A2B2,136.6795865314471,398.4
247.0,110,12.36195452919553,C1B1,301.0600145182483,201.6
247.0,111,11.59393061907331,C1C0,398.4,142.45433284643678
247.0,112,0.0,A0B0,191.79896248385134,-1.6
247.0,113,0.00011154039771070265,B1B2,201.6,356.63372714241336
247.0,114,8.986620982388073,A2B2,26.320930229798684,398.4
247.0,115,1.6235416398673888,A0B0,184.17001828010518,-1.6
247.0,116,6.0637508539853915,A2A1,-1.6,392.5012138629615
247.0,117,13.544504924637309,A2A1,-1.6,232.90124230975326
247.0,118,12.929785385370165,C1C2,401.6,343.1396946736928
247.0,119,14.577230127693175,B2A2,72.90524463128187,401.6
247.0,120,12.8708703324119,B1A1,162.64497480466227,201.6
247.0,121,11.394930597658444,B1B2,201.6,245.66131739423867
247.0,122,5.235402567824926,A1B1,21.28641952651203,198.4
247.0,45,0.0,:B2_5,200.85611111111112,393.91583333333335
247.0,55,13.418483954475784,A1A2,1.6,282.37391558389305
247.0,56,1.1601658070331842,A1B1,182.92701456836826,198.4
247.0,57,15.265778015569374,C1C0,398.4,66.566682670007
247.0,58,0.0,B2B1,198.4,215.70203876859554
247.0,60,0.14491625600856148,B1B2,201.6,341.5708075435097
247.0,61,3.8196109067708095,B1B2,201.6,332.57603466667865
247.0,64,12.189969502639526,C1B1,349.62726658318593,201.6
247.0,69,14.084815741895193,B1A1,73.101909701302,201.6
247.0,75,0.0007535606667503157,B1B2,201.6,349.13238971112764
247.0,76,5.480882551101968,B1B2,201.6,208.11232533123388
247.0,77,0.0,B1B2,201.6,371.6358930388676
247.0,78,0.0,B1B2,201.6,386.63799867636993
247.0,80,0.0,B1B2,201.6,379.13693198784915
247.0,81,0.0,A1B1,174.26579350972364,198.4
247.0,82,13.013963149701988,A1A0,-1.6,155.460954156545
247.0,83,0.0,A1B1,166.7647714603042,198.4
