time,vehicle_id,road,speed
57,2,B2C2,12.89
57,20,C2C1,2.73
57,21,A2A1,8.54
57,22,A0B0,12.7
57,23,A1A0,11.56
57,24,B2B1,10.94
57,25,B0B1,11.76
57,26,A2B2,12.6
57,27,B2B1,12.08
57,28,A1B1,8.7
57,3,A2A1,15.0
57,4,A1B1,13.72
57,5,:B1_22,2.29
57,8,A1B1,0.0
57,9,B1B0,10.6
58,0,B0A0,14.31
58,10,B1B2,14.74
58,11,A1A2,12.27
58,12,B2B1,0.07
58,14,C0B0,12.51
58,15,B1C1,11.59
58,16,B2C2,11.86
58,17,C0C1,11.79
58,18,B1B2,7.97
58,19,C0B0,15.07
58,2,B2C2,13.17
58,20,C2C1,5.25
58,21,A2A1,4.38
58,22,A0B0,10.3
58,23,A1A0,12.18
58,24,B2B1,11.35
58,25,B0B1,12.08
58,26,A2B2,12.54
58,27,B2B1,12.68
58,28,A1B1,10.8
58,29,A1A2,12.27
58,3,A2A1,14.48
58,4,A1B1,13.27
58,5,:B1_22,4.87
58,8,A1B1,1.79
58,9,B1B0,11.16
59,0,B0A0,13.72
59,10,B1B2,14.53
59,11,A1A2,14.18
59,12,B2B1,0.01
59,14,C0B0,13.5
59,15,B1C1,11.96
59,16,B2C2,11.87
59,17,C0C1,12.6
59,18,B1B2,10.16
59,19,C0B0,15.83
59,2,B2C2,12.83
59,20,C2C1,7.24
59,21,A2A1,0.75
59,22,A0B0,6.72
59,23,A1A0,11.65
59,24,B2B1,11.02
59,25,B0B1,11.97
59,26,A2B2,12.19
59,27,B2B1,12.61
59,28,A1B1,13.39
59,29,A1A2,11.95
59,3,A2A1,14.15
59,4,A1B1,13.34
59,5,B1B2,6.58
59,8,:B1_14,3.24
59,9,B1B0,10.94
60,0,B0A0,13.62
60,10,B1B2,14.41
60,11,A1A2,13.53
60,12,B2B1,0.0
60,14,C0B0,10.8
60,15,B1C1,11.81
60,16,B2C2,11.91
60,17,C0C1,12.27
60,18,B1B2,12.51
60,19,C0B0,15.21
60,2,B2C2,13.07
60,20,C2C1,9.43
60,21,A2A1,0.46
60,22,A0B0,2.22
60,23,A1A0,11.08
60,24,B2B1,10.26
60,25,B0B1,11.95
60,26,A2B2,11.69
60,27,B2B1,12.1
60,28,A1B1,15.59
60,29,A1A2,12.2
60,3,A2A1,14.93
60,30,C2C1,9.43
60,4,A1B1,11.8
60,5,B1B2,8.18
60,8,:B1_22,5.22
60,9,B1B0,11.69
61,0,B0A0,9.7
61,10,B1B2,14.14
61,11,A1A2,14.2
61,12,B2B1,0.0
61,14,C0B0,7.61
61,15,B1C1,12.02
61,16,B2C2,11.95
61,17,C0C1,12.69
61,18,B1B2,12.05
61,19,C0B0,15.2
61,2,B2C2,12.6
61,20,C2C1,11.83
61,21,A2A1,0.17
61,22,A0B0,0.02
61,23,A1A0,11.22
61,24,B2B1,10.17
61,25,B0B1,11.0
61,26,A2B2,12.09
61,27,B2B1,13.09
61,28,A1B1,15.3
61,29,A1A2,12.7
61,3,A2A1,14.56
61,30,C2C1,9.66
61,4,A1B1,10.13
61,5,B1B2,10.75
61,8,:B1_22,7.42
61,9,B1B0,11.66
62,0,B0A0,6.64
62,10,B1B2,14.68
62,11,A1A2,13.41
62,12,B2B1,0.0
62,14,:B0_3,6.37
62,15,B1C1,12.82
62,16,B2C2,11.33
62,17,C0C1,12.64
62,18,B1B2,12.65
62,19,C0B0,15.16
62,2,B2C2,12.49
62,20,C2C1,13.9
62,21,A2A1,0.01
62,22,A0B0,0.0
62,23,A1A0,9.27
62,24,B2B1,10.27
62,25,B0B1,11.68
62,26,A2B2,11.49
62,27,B2B1,12.51
62,28,A1B1,14.95
62,29,A1A2,12.51
62,3,A2A1,14.63
62,30,C2C1,12.02
62,31,B1C1,12.82
62,4,A1B1,6.39
62,5,B1B2,11.34
62,8,B1B2,7.48
62,9,B1B0,11.38
63,0,:A0_1,2.9
63,10,B1B2,11.2
63,11,A1A2,13.41
63,12,B2B1,0.0
63,14,B0B1,5.42
63,15,B1C1,12.57
63,16,B2C2,11.06
63,17,C0C1,12.5
63,18,B1B2,11.78
63,19,C0B0,15.37
63,2,B2C2,11.8
63,20,C2C1,13.76
63,21,A2A1,0.0
